"IBM 's once-disparaged mainframes are now mighty Web servers for Fortune 500 companies , and selling like mad .","unbalanced@a","[u'crazy', u'very rapidly', u'very fast', u'very quickly', u'fast']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"Thomas son of Thomas Smith , in Compton , bit by a mad dog- "" One wonders whether this might have been a case of rabies .","unbalanced@a","[u'insane', u'rabid', u'crazy']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"If you want a mad night out , find out when the party nights are on , they are the ones not to miss .","unbalanced@a","[u'crazy', u'wild']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"The process of rendering animal waste into animal feed has been a massive and ongoing experiment in the creation of new TSEs , one of which emerged in Britain in the mid 1980s as mad cow disease , has clearly spread into humans claiming over fifty so far , and in my guess will in the years ahead be founded to have infected hundreds of thousands of Britons .","unbalanced@a","[u'BSE', u'crazy', u'pn']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"She was not mad before she was prescribed complete rest , but rather the complete rest which caused her madness .","unbalanced@a","[u'insane', u'crazy']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"I was so mad , I jumped up and whirled around .","unbalanced@a","[u'angry', u'wildly excited', u'annoyed', u'furious']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['N']"
"Connecticut At Last We arrived at Penn Station , grabbed our carry-on bags , and made a mad dash for the exit .","unbalanced@a","[u'wild', u'hurried', u'crazy', u'frantic', u'rapid']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"Do they want us to clean up the mess while they take the no cost high road of publicly condemning our unilateral military action ?","*scavenge@v","[u'clear', u'tidy', u'correct', u'remedy', u'fix', u'repair']","['houseclean@NN', 'fair@NN', 'sporting@VBG', 'blank@NN', 'strip@NN', 'clean_house@NN', 'sporty@NN', 'clean_and_jerk@NN', 'plumb@NN', 'white@JJ', 'fairly@RB', 'clean@NN', 'uninfected@JJ', 'clean-living@NN', 'unclouded@JJ', 'unobjectionable@JJ', 'cleanse@NN', 'light@NN', 'clear@JJ', 'sportsmanlike@NN', 'uncontaminating@VBG', 'neat@NN', 'make_clean@NN', 'pick@NN', 'fresh@JJ', 'plum@NN', 'scavenge@NN']","['Y']"
"I first began investigating mad cow type diseases in the early 1990s when I was working in Wisconsin organizing farmers and consumers opposed to Monsanto 's genetically engineered bovine growth hormone , the cattle equivalent of human growth hormone which when injected into cattle forced them to produce more milk .","unbalanced@a","[u'BSE', u'crazy', u'pn']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"If they want to come along to one of our shows and shake their heads and run around like mad pigs , they can .","unbalanced@a","[u'crazy', u'frenzied', u'frenetic', u'uncontrolled', u'wild']","['insane@NN', 'crazy@NN', 'harebrained@VBN', 'delirious@JJ', 'unhinged@JJ', 'brainsick@NN', 'sore@NN', 'demented@VBN', 'huffy@NN', 'frantic@JJ', 'mad@NN', 'sick@NN', 'disturbed@NN', 'unrestrained@JJ', 'excited@VBN', 'unbalanced@JJ']","['Y']"
"It took along time to get to the point where I could smile at the thought of her rather then collapse into an emotional heap .","cumulation@n","[u'mess', u'bundle', u'wreck', u'pile', u'state']","['plenty@NN', 'deal@NN', 'pot@NN', 'agglomerate@NN', 'sight@NN', 'flock@NN', 'mint@NN', 'slew@NN', 'mountain@NN', 'good_deal@NN', 'wad@NN', 'cumulus@NN', 'muckle@NN', 'pile@NN', 'jalopy@NN', 'lot@NN', 'mickle@NN', 'raft@NN', 'quite_a_little@NN', 'passel@NN', 'hatful@NN', 'mess@NN', 'bus@NN', 'spate@NN', 'great_deal@NN', 'heap@NN', 'peck@NN', 'stack@NN', 'batch@NN', 'tidy_sum@NN', 'mass@NN', 'mound@NN', 'cumulation@NN']","['Y']"
