"""In March 1992 , Linux version 0.95 was the first to be capable of running X. This large version number jump was due to a feeling that a version 1.0 with no major missing pieces was imminent .""","*piece","[u'parts', u'parts', u'parts', u'parts', u'component', u'sections', u'parts', u'parts', u'parts', u'parts', u'parts', u'elements', u'parts', u'parts', u'parts', u'part', u'parts', u'parts', u'parts', u'components', u'parts', u'parts', u'components', u'parts', u'parts', u'parts', u'parts', u'bits', u'parts', u'parts', u'parts', u'parts', u'parts', u'parts', u'parts', u'parts', u'parts', u'parts', u'information', u'parts', u'parts', u'parts', u'bits', u'parts', u'parts', u'parts', u'bits', u'parts', u'parts', u'items', u'parts', u'']","['nibble@JJ', 'set_up@NN', 'small-arm@NN', ""objet_d'art@NN"", 'firearm@NN', 'slice@NN', 'art_object@NN', 'musical_composition@NN', 'piece_of_music@NN', 'opus@NN', 'put_together@NN', 'composition@NN', 'spell@NN', 'part@NN', 'assemble@JJ', 'bit@NN', 'man@NN', 'tack_together@NN', 'patch@NN', 'while@IN', 'tack@NN', 'pick@NN', 'piece@NN']","['Y']"
"""Much of the water carried by these streams is diverted .""","disport","[u'drawn away', u'redirected', u'changed', u'redirected', u'turned', u'moved', u'rerouted', u'changed', u'rerouted', u'led away', u'rerouted', u'redirected', u'sent away', u'redirected', u'changed', u'redirected', u'separated', u'redirected', u'switched', u'redirected', u'redirected', u'rerouted', u'switched', u'rerouted', u'redirected', u'moved', u'moved', u'split', u'redirected', u'changed', u'redirected', u'altered', u'separated', u'moved', u'altered', u'redirected', u'rerouted', u'redirected', u'redirected', u'split', u'turned', u'redirected', u'drawn away', u'veered', u'moved', u'rerouted', u'channeled', u'redirected', u'deflected', u'changed', u'redirected', u'']","['hive_off@NN', 'amuse@NN', 'divert@NN', 'deviate@NN', 'disport@NN']","['N']"
"""Harry also becomes the worthy possessor of the remaining Deathly Hallows : the Invisibility Cloak and the Resurrection Stone , hence becoming the true Master of Death .""","possessor","[u'owner', u'buyer', u'owner', u'owner', u'owner', u'owner', u'owner', u'holder', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'holder', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'master', u'owner', u'owner', u'keeper', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'owner', u'teacher', u'owner', u'keeper', u'owner', u'owner', u'holder', u'owner', u'owner', u'owner', u'holder', u'owner', u'owner', u'owner', u'']","['owner@NN', 'possessor@NN']","['Y']"
"""Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination .""","riskiness","[u'dangers', u'dangers', u'difficulties', u'dangers', u'dangers', u'danger', u'restraints', u'problems', u'dangers', u'risks', u'dangers', u'dangers', u'dangers', u'dangers', u'hazards', u'dangers', u'fates', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'situations', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'dangers', u'troubles', u'dangers', u'']","['jeopardise@NN', 'scupper@NN', 'peril@NN', 'risk@NN', 'danger@NN', 'jeopardy@NN', 'jeopardize@NN', 'hazard@NN', 'endangerment@NN', 'imperil@NN', 'queer@NN', 'endanger@NN', 'threaten@NNS', 'menace@NN', 'expose@VB', 'riskiness@NN']","['Y']"
"""The storm continued , crossing the Outer Banks of North Carolina , and retained its strength until June 20 when it became extratropical near Newfoundland .""","hold","[u'kept', u'kept', u'held', u'maintained', u'kept', u'kept', u'held', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'held', u'held', u'kept', u'kept', u'kept', u'kept', u'held', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'kept', u'held', u'regained', u'kept', u'held', u'kept', u'kept', u'kept', u'kept', u'kept', u'maintained', u'kept', u'kept', u'kept', u'kept', u'held', u'kept', u'maintained', u'kept', u'kept', u'held', u'kept', u'']","['keep_back@NN', 'hold_back@NN', 'keep@VB', 'continue@NN', 'keep_on@NN', 'retain@NN', 'hold@NN']","['N']"
"""The Convent has been the official residence of the Governor of Gibraltar since 1728 .""","mansion_house","[u'home', u'home', u'home', u'dwelling', u'home', u'home', u'home', u'home', u'people', u'home', u'home', u'house', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'dwelling', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'home', u'house', u'house', u'home', u'home', u'home', u'home', u'home', u'house', u'home', u'house', u'abode', u'house', u'home', u'home', u'owner', u'home', u'']","['abode@NN', 'residence@NN', 'manse@NN', 'abidance@NN', 'residency@NN', 'mansion@NN', 'hall@NN', 'mansion_house@NN']","['Y']"
"""Food is procured with its suckers and then crushed using its tough `` beak '' of chitin .""","secure","[u'obtained', u'gotten', u'found', u'gathered', u'batten', u'aquired', u'grabbed', u'created', u'gotten', u'obtained', u'attained', u'obtained', u'made', u'grabbed', u'gathered', u'obtained', u'acquired', u'made', u'obtained', u'received', u'acquired', u'gathered', u'obtained', u'grabbed', u'obtained', u'obtained', u'grabbed', u'gathered', u'processed', u'obtained', u'gotten', u'gotten', u'collected', u'gotten', u'obtained', u'gotten', u'obtained', u'obtained', u'obtained', u'gotten', u'gathered', u'gathered', u'gathered', u'gotten', u'obtained', u'obtained', u'gathered', u'secured', u'obtained', u'gathered', u'obtained', u'']","['pander@NN', 'procure@NN', 'pimp@NN', 'secure@NN']","['N']"
"""The United States convened a 13-nation conference of the International Opium Commission in 1909 in Shanghai , China in response to increasing criticism of the opium trade .""","convene","[u'opened', u'started', u'assembled', u'called', u'gathered', u'created', u'made', u'called', u'aggregated', u'made', u'brought together', u'gathered', u'called', u'hosted', u'organized', u'assembled', u'held', u'gathered', u'held', u'met', u'started', u'assembled', u'ordered', u'held', u'created', u'assembled', u'called', u'held', u'called', u'assembled', u'called', u'called', u'met', u'gathered', u'started', u'called', u'called', u'organized', u'held', u'assembled', u'assembled', u'organized', u'gathered', u'assembled', u'met', u'assembled', u'gathered', u'assembled', u'opened', u'called', u'called', u'assembled']","['convoke@NN', 'convene@NN']","['N']"
"""Photosynthesis is vital for life on Earth .""","life-sustaining","[u'important', u'critical', u'essential', u'necessary', u'important', u'necessary', u'important', u'important', u'important', u'needed', u'required', u'important', u'necessary', u'required', u'necessary', u'essential', u'needed', u'necessary', u'important', u'needed', u'essential', u'essential', u'necessary', u'necessary', u'essential', u'essential', u'important', u'necessary', u'important', u'important', u'needed', u'important', u'critical', u'needed', u'necessary', u'crucial', u'needed', u'needed', u'necessary', u'important', u'important', u'important', u'important', u'important', u'important', u'needed', u'essential', u'necessary', u'required', u'essential', u'important', u'']","['full_of_life@NN', 'critical@JJ', 'lively@RB', 'vital@NN', 'life-sustaining@NN']","['Y']"
"""Dodd simply retained his athletic director position , which he had acquired in 1950 .""","gain","[u'received', u'gotten', u'got', u'gotten', u'achieved', u'gained', u'gained', u'got', u'gained', u'gotten', u'gotten', u'taken', u'gained', u'got', u'received', u'amassed', u'gained', u'received', u'got', u'received', u'obtained', u'obtained', u'gained', u'got', u'gotten', u'gained', u'obtained', u'received', u'gained', u'gotten', u'obtained', u'gotten', u'gotten', u'achieved', u'started', u'gotten', u'gotten', u'received', u'inherited', u'got', u'achieved', u'gotten', u'gotten', u'received', u'obtained', u'gained', u'gained', u'taken', u'gained', u'got', u'gotten', u'']","['evolve@NN', 'adopt@NN', 'develop@VB', 'get@VB', 'assume@VB', 'win@NN', 'acquire@VB', 'larn@NN', 'take_on@NN', 'produce@NN', 'take@VB', 'learn@NN', 'grow@NN', 'gain@NN']","['N']"
"""Radiometric dating is a technique used to date materials , usually based on a comparison between the observed abundance of a naturally occurring radioactive isotope and its decay products , using known decay rates .""","teemingness","[u'plenty', u'large amount', u'supply', u'a lot', u'amount', u'bounty', u'surplus', u'amount', u'excess', u'excess', u'great amount', u'large amount', u'plenty', u'amount', u'wealth', u'surplus', u'quantity', u'supply', u'amount', u'plenitude', u'amount', u'outpouring', u'plenty', u'amount', u'large amount', u'amount', u'amount', u'surplus', u'portion', u'amount', u'plenty', u'surplus', u'bounty', u'amount', u'amount', u'plenty', u'profusion', u'amount', u'amount', u'amount', u'plenty', u'wealth', u'availability', u'supply', u'plenitude', u'plenty', u'wealth', u'plenty', u'heap', u'growth', u'amount', u'']","['abundance@NN', 'copiousness@NN', 'teemingness@NN']","['N']"
"""Bacterial contaminants are ubiquitous , and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat , leading to food poisoning .""","substantive","[u'significant', u'huge', u'large', u'big', u'high', u'large', u'significant', u'large', u'large', u'large', u'significant', u'heavy', u'significant', u'many', u'extensive', u'big', u'large', u'large', u'large', u'large', u'big', u'large', u'large', u'large', u'large', u'large', u'large', u'major', u'large', u'large', u'large', u'large', u'large', u'large', u'copious', u'great', u'large', u'large', u'large', u'a lot', u'large', u'large', u'large', u'large', u'large', u'large', u'large', u'large', u'a lot', u'large', u'large', u'']","['real@JJ', 'satisfying@VBG', 'solid@JJ', 'material@NN', 'hearty@NN', 'substantial@JJ', 'square@NN', 'strong@JJ', 'significant@JJ', 'substantive@JJ']","['Y']"
"""Tibooburra has an arid , desert climate with temperatures soaring above 40 Celsius in summer , often reaching as high as 47 C .""","waterless","[u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'desolate', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'moistureless', u'barren', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'dry', u'']","['desiccate@NN', 'desiccated@VBN', 'arid@NN', 'waterless@NN']","['N']"
"""Hanna meandered around the southeastern Bahamas , weakening to a tropical storm while also dumping heavy rain on already-devastated Haiti .""","weave","[u'wandered', u'wandered', u'wondered', u'moved', u'strolled', u'wandered', u'moved', u'wandered', u'strolled', u'wandered', u'wandered', u'wandered', u'wandered', u'traveled', u'wandered', u'navigated', u'drifted', u'wandered', u'wandered', u'wandered', u'drifted', u'wandered', u'wandered', u'wandered', u'walked', u'twisted', u'blew', u'traveled', u'wandered', u'wandered', u'wandered', u'wandered', u'went', u'wandered', u'traveled', u'curved', u'wandered', u'wandered', u'walked', u'wandered', u'wandered', u'wandered', u'drifted', u'walked', u'wandered', u'wandered', u'drifted', u'wandered', u'walked', u'zigzagged', u'wandered', u'']","['ramble@JJ', 'thread@NN', 'meander@NN', 'wander@NN', 'wind@NN', 'weave@NN']","['N']"
